party,date,avg,sd,eff_n,lower,upper,region
Bloc,2020-12-30,0.30183761986092866,0.03579566111130814,6.070714481092997,0.2779411747968462,0.3257340649250111,Quebec
Bloc,2020-12-31,0.30156878069338655,0.03654833326359688,6.160444575718859,0.2773489046271439,0.3257886567596291,Quebec
Bloc,2021-01-01,0.30117226837394584,0.032222265360146995,5.2413803036227735,0.2779149654357774,0.3244295713121145,Quebec
Bloc,2021-01-02,0.30081620658473884,0.02817557440375253,4.32692264294709,0.27820495171610765,0.32342746145337015,Quebec
Bloc,2021-01-03,0.3004951889920192,0.02431425833259284,3.416297310128312,0.2783418181247187,0.3226485598593197,Quebec
Bloc,2021-01-04,0.30027818646543303,0.02051766087840777,2.540443650960675,0.27856679272637297,0.32198958020449303,Quebec
Bloc,2021-01-05,0.30011125211723294,0.01685268787659594,1.6634622344491476,0.2786771695857509,0.3215453346487151,Quebec
Bloc,2021-01-06,0.29572770772889234,0.01777866233319601,1.7388916057863963,0.27357199936284526,0.31788341609493936,Quebec
Bloc,2021-01-07,0.2916094656032768,0.018531991400019994,1.8239236705375184,0.26904114713299027,0.3141777840735632,Quebec
Bloc,2021-01-08,0.28770691182064134,0.01918521541606749,1.9138469148563324,0.2648874125324574,0.3105264111088253,Quebec
Bloc,2021-01-09,0.28397459769132505,0.019746677434457304,2.005095122023538,0.26102036141350815,0.30692883396914195,Quebec
Bloc,2021-01-10,0.29000412374719814,0.022888381794222763,1.9955010812441754,0.26320106883608213,0.31680717865831415,Quebec
Bloc,2021-01-11,0.2997744310185595,0.0267361701822438,2.0605430049850755,0.2689534175053317,0.3305954445317873,Quebec
Bloc,2021-01-12,0.3088902952400103,0.030609121322838086,2.1167498880152054,0.27410669723872516,0.3436738932412955,Quebec
Bloc,2021-01-13,0.31749750221047823,0.03451478270697257,2.164422146430526,0.2787726405668306,0.35622236385412587,Quebec
Bloc,2021-01-14,0.3256913153268418,0.03835782387421767,2.2077439140069703,0.28316301773498137,0.3682196129187023,Quebec
Bloc,2021-01-15,0.3239072642895778,0.039441835884811316,2.3541595320942363,0.2815830066951324,0.3662315218840232,Quebec
Bloc,2021-01-16,0.3121394923349218,0.03781684523260605,2.4140251033323845,0.27209617745450887,0.3521828072153347,Quebec
Bloc,2021-01-17,0.3011096626881996,0.03639956063477751,2.4720558975441156,0.26303243967561474,0.33918688570078437,Quebec
Bloc,2021-01-18,0.29062875614641637,0.035008870815125805,2.52998179899149,0.25443479373236594,0.3268227185604668,Quebec
Bloc,2021-01-19,0.2805997079057417,0.03371061809933909,2.5847737345706046,0.24612164637467915,0.3150777694368042,Quebec
Bloc,2021-01-20,0.2707827125591069,0.036097419715798426,2.795748178995956,0.23556316520941173,0.30600225990880203,Quebec
Bloc,2021-01-21,0.27165855602816524,0.04068400604317278,3.1134856470863026,0.23405370049809798,0.3092634115582325,Quebec
Bloc,2021-01-22,0.27132438284427746,0.04267676724237475,3.4915654581500157,0.23374625103384736,0.3089025146547076,Quebec
Bloc,2021-01-23,0.2708852824045878,0.044598854338208226,3.927797559916668,0.23359140273977114,0.30817916206940443,Quebec
Bloc,2021-01-24,0.27034683491007405,0.046424421927281995,4.3953502025087205,0.2335005823037684,0.30719308751637964,Quebec
Bloc,2021-01-25,0.26988398424756826,0.044539258355711334,4.723992426762488,0.23593290432943398,0.30383506416570255,Quebec
Bloc,2021-01-26,0.2694295028094653,0.04288940027558267,5.018466727539342,0.2378945534704362,0.30096445214849454,Quebec
Bloc,2021-01-27,0.26988122583057733,0.043493063611479935,5.242865479822219,0.23861820071390144,0.3011442509472533,Quebec
Bloc,2021-01-28,0.2701690006232299,0.04407782527590219,5.391865965599378,0.2389386415289656,0.30139935971749426,Quebec
Bloc,2021-01-29,0.2690547911552903,0.04098246049747762,4.849717598102419,0.23822232466118484,0.2998872576493958,Quebec
Bloc,2021-01-30,0.2719353538741661,0.038881087779954686,4.456740805746324,0.24137260944637515,0.30249809830195706,Quebec
Bloc,2021-01-31,0.27441844436187207,0.03697008631695691,4.111832592895254,0.24418901592323086,0.3046478728005132,Quebec
Bloc,2021-02-01,0.2843039832295887,0.03788630753880369,3.6629940179757314,0.2514035595838048,0.31720440687537266,Quebec
Bloc,2021-02-02,0.2933454545688606,0.03880787803923521,3.3024634492300264,0.25830162054665434,0.32838928859106686,Quebec
Bloc,2021-02-03,0.30313287977083664,0.04340762227724708,3.6507944782127746,0.26577470324709745,0.3404910562945759,Quebec
Bloc,2021-02-04,0.3084355504559204,0.047014466856849,3.8683730106585292,0.2690387820549941,0.34783231885684673,Quebec
Bloc,2021-02-05,0.31374410847793116,0.05043294997060218,4.055957152609617,0.2723640427238871,0.3551241742319752,Quebec
