district_code,district_name_english,district_name_french,party,candidate_last,candidate_first,candidate_middle,incumbent
24010,Brome--Missisquoi,Brome--Missisquoi,Conservative,Stastny,Peter,,N
24010,Brome--Missisquoi,Brome--Missisquoi,Bloc,Ouellet,Christian,,N
24011,Brossard--La Prairie,Brossard--La Prairie,Liberal,Saada,Jacques,,Y
24011,Brossard--La Prairie,Brossard--La Prairie,NDP,Alexan,Nadia,,N
24011,Brossard--La Prairie,Brossard--La Prairie,Conservative,Nicolas,Robert,,N
24011,Brossard--La Prairie,Brossard--La Prairie,Bloc,Lussier,Marcel,,N
24011,Brossard--La Prairie,Brossard--La Prairie,Marxist-Leninist,Le Seigle,Yves,,N
24011,Brossard--La Prairie,Brossard--La Prairie,Green,Bissonnette,Cécile,,N
24012,Chambly--Borduas,Chambly--Borduas,Liberal,Joncas,Sophie,,N
24012,Chambly--Borduas,Chambly--Borduas,Conservative,Richard,Lucien,,N
24012,Chambly--Borduas,Chambly--Borduas,Bloc,Lessard,Yves,,N
24012,Chambly--Borduas,Chambly--Borduas,NDP,Blouin,Daniel,,N
24012,Chambly--Borduas,Chambly--Borduas,Green,Lapointe,Benoit,,N
24013,Charlesbourg,Charlesbourg,Liberal,Laliberté,Jean-Marie,,N
24013,Charlesbourg,Charlesbourg,NDP,Villeneuve,François,,N
24013,Charlesbourg,Charlesbourg,Green,Moisan-Domm,Marilou,,N
24013,Charlesbourg,Charlesbourg,Conservative,Proulx,Bertrand,,N
24013,Charlesbourg,Charlesbourg,Marijuana,Kasapoglu,Benjamin,,N
24013,Charlesbourg,Charlesbourg,Bloc,Marceau,Richard,,Y
24014,Charlevoix--Montmorency,Charlevoix--Montmorency,Liberal,Lepage,Lisette,,N
24014,Charlevoix--Montmorency,Charlevoix--Montmorency,NDP,Hudon,Steeve,,N
24014,Charlevoix--Montmorency,Charlevoix--Montmorency,Green,Jourdain,Yves,,N
24014,Charlevoix--Montmorency,Charlevoix--Montmorency,Conservative,Tremblay,Guy-Léonard,,N
