district_code,district,candidate,incumbent,party
24038,Louis-Saint-Laurent/Louis-Saint-Laurent,Jean-Guy Carignan,Y,Independent
24038,Louis-Saint-Laurent/Louis-Saint-Laurent,Bernard Cleary,N,Bloc
24038,Louis-Saint-Laurent/Louis-Saint-Laurent,Michel Fragasso,N,Liberal
24038,Louis-Saint-Laurent/Louis-Saint-Laurent,Henri Gauvin,N,Independent
24038,Louis-Saint-Laurent/Louis-Saint-Laurent,Dominique Théberge,N,Communist
24038,Louis-Saint-Laurent/Louis-Saint-Laurent,Josée Verner,N,Conservative
24039,Manicouagan/Manicouagan,Gérard Asselin,N,Bloc
24039,Manicouagan/Manicouagan,Anthony Detroio,N,Liberal
24039,Manicouagan/Manicouagan,Pierre Ducasse,N,NDP
24039,Manicouagan/Manicouagan,Pierre Paradis,N,Conservative
24039,Manicouagan/Manicouagan,Les Parsons,N,Green
24040,Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,Lise Bissonnette,N,Green
24040,Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,Marc Bissonnette,N,Conservative
24040,Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,Lyse Généreux,N,NDP
24040,Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,Nancy Girard,N,Liberal
24040,Marc-Aurèle-Fortin/Marc-Aurèle-Fortin,Serge Ménard,N,Bloc
24041,Matapédia--Matane/Matapédia--Matane,Marc Bélanger,N,Liberal
24041,Matapédia--Matane/Matapédia--Matane,Jean-Guy Côté,N,NDP
24041,Matapédia--Matane/Matapédia--Matane,Nicolas Deville,N,Green
24041,Matapédia--Matane/Matapédia--Matane,Vahid Fortin-Vidah,N,Conservative
24041,Matapédia--Matane/Matapédia--Matane,Jean-Yves Roy,Y,Bloc
24042,Mégantic--L'Érable/Mégantic--L'Érable,Gérard Binet,Y,Liberal
24042,Mégantic--L'Érable/Mégantic--L'Érable,Marc Boulianne,N,Bloc
24042,Mégantic--L'Érable/Mégantic--L'Érable,Alexandre Côté,N,NDP
24042,Mégantic--L'Érable/Mégantic--L'Érable,Yves Mailly,N,Conservative
24042,Mégantic--L'Érable/Mégantic--L'Érable,Bruno Vézina,N,Green
24043,Montcalm/Montcalm,Serge Bellemare,N,Green
24043,Montcalm/Montcalm,Daniel Brazeau,N,Liberal
24043,Montcalm/Montcalm,Roger Gaudet,Y,Bloc
24043,Montcalm/Montcalm,Michel Paulette,N,Conservative
24043,Montcalm/Montcalm,François Rivest,N,NDP
24044,Mount Royal/Mont-Royal,Sébastien Beaudet,N,NDP
24044,Mount Royal/Mont-Royal,Irwin Cotler,Y,Liberal
24044,Mount Royal/Mont-Royal,Matthew Fireman,N,Conservative
24044,Mount Royal/Mont-Royal,Vincent Gagnon,N,Bloc
24044,Mount Royal/Mont-Royal,Adam Greenblatt,N,Marijuana
24044,Mount Royal/Mont-Royal,Diane Johnston,N,Marxist-Leninist
24044,Mount Royal/Mont-Royal,Adam Sommerfeld,N,Green
24045,Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,Jean-Philippe Chartré,N,Bloc
24045,Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,Maria Pia Chávez,N,NDP
24045,Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,Jay Dell,N,Marijuana
24045,Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,Jessica Gal,N,Green
24045,Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,Rachel Hoffman,N,Marxist-Leninist
24045,Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,Marlene Jennings,Y,Liberal
24045,Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,William R. McCullock,N,Conservative
24045,Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine,Earl Wertheimer,N,Libertarian
24046,Nunavik--Eeyou/Nunavik--Eeyou,Pierre Corbeil,N,NDP
24046,Nunavik--Eeyou/Nunavik--Eeyou,François Dionne,N,Conservative
24046,Nunavik--Eeyou/Nunavik--Eeyou,Martin Fournier,N,Green
24046,Nunavik--Eeyou/Nunavik--Eeyou,Yvon Lévesque,N,Bloc
24046,Nunavik--Eeyou/Nunavik--Eeyou,Guy St-Julien,Y,Liberal
24047,Outremont/Outremont,Omar Aktouf,N,NDP
24047,Outremont/Outremont,Yan Lacombe,N,Marijuana
24047,Outremont/Outremont,Jean Lapierre,N,Liberal
24047,Outremont/Outremont,Shaun Perceval-Maxwell,N,Green
24047,Outremont/Outremont,François Rebello,N,Bloc
24047,Outremont/Outremont,Marc Rousseau,N,Conservative
24047,Outremont/Outremont,Linda Sullivan,N,Marxist-Leninist
24048,Papineau/Papineau,Martine Carrière,N,Bloc
24048,Papineau/Papineau,Christelle Dusablon-Pelletier,N,Marijuana
24048,Papineau/Papineau,André Frappier,N,NDP
24048,Papineau/Papineau,Jimmy Garoufalis,N,Independent
24048,Papineau/Papineau,Adam Jastrzebski,N,Green
24048,Papineau/Papineau,Peter Macrisopoulos,N,Marxist-Leninist
24048,Papineau/Papineau,André Parizeau,N,Communist
24048,Papineau/Papineau,Pierre Pettigrew,Y,Liberal
24048,Papineau/Papineau,Mustaque Sarker,N,Conservative
24049,Pierrefonds--Dollard/Pierrefonds--Dollard,Marie-Hélène Brunet,N,Bloc
24049,Pierrefonds--Dollard/Pierrefonds--Dollard,Garnet Colly,N,Marxist-Leninist
24049,Pierrefonds--Dollard/Pierrefonds--Dollard,Theodore Kouretas,N,Green
24049,Pierrefonds--Dollard/Pierrefonds--Dollard,Jean-François Labrecque,N,Marijuana
24049,Pierrefonds--Dollard/Pierrefonds--Dollard,Danielle Lustgarten,N,NDP
24049,Pierrefonds--Dollard/Pierrefonds--Dollard,Andrea Paine,N,Conservative
24049,Pierrefonds--Dollard/Pierrefonds--Dollard,Bernard Patry,Y,Liberal
24050,Pontiac/Pontiac,Judith Grant,N,Conservative
24050,Pontiac/Pontiac,L-Hubert Leduc,N,Bloc
24050,Pontiac/Pontiac,Benoit Legros,N,Marxist-Leninist
24050,Pontiac/Pontiac,Gretchen Schwarz,N,NDP
24050,Pontiac/Pontiac,David Smith,N,Liberal
24050,Pontiac/Pontiac,Thierry Vicente,N,Green
24051,Portneuf/Portneuf,Jean-François Breton,N,NDP
24051,Portneuf/Portneuf,Howard M. Bruce,N,Conservative
24051,Portneuf/Portneuf,Guy Côté,N,Bloc
24051,Portneuf/Portneuf,Claude Duplain,Y,Liberal
24051,Portneuf/Portneuf,Pierre Poulin,N,Green
24052,Québec/Québec,Jean Bédard,N,Marxist-Leninist
24052,Québec/Québec,Jean-Philippe Côté,N,Liberal
24052,Québec/Québec,Jean-Marie Fiset,N,NDP
24052,Québec/Québec,Christiane Gagnon,Y,Bloc
24052,Québec/Québec,Pierre Gaudreault,N,Conservative
24052,Québec/Québec,Pierre-Etienne Paradis,N,Marijuana
24052,Québec/Québec,Antonine Yaccarini,N,Green
24053,Repentigny/Repentigny,François Boudreau,N,Marijuana
24053,Repentigny/Repentigny,Lévis Brien,N,Liberal
24053,Repentigny/Repentigny,André Cardinal,N,NDP
24053,Repentigny/Repentigny,Jean-François Léveque,N,Green
24053,Repentigny/Repentigny,Allen  F. MacKenzie,N,Conservative
24053,Repentigny/Repentigny,Benoît Sauvageau,Y,Bloc
24054,Richelieu/Richelieu,Daniel Blackburn,N,Marijuana
24054,Richelieu/Richelieu,Jean-Pierre Bonenfant,N,Green
24054,Richelieu/Richelieu,Charles Bussières,N,NDP
24054,Richelieu/Richelieu,Louis Plamondon,Y,Bloc
24054,Richelieu/Richelieu,Daniel A. Proulx,N,Conservative
24054,Richelieu/Richelieu,Ghislaine Provencher,N,Liberal
24055,Richmond--Arthabaska/Richmond--Arthabaska,André Bellavance,N,Bloc
24055,Richmond--Arthabaska/Richmond--Arthabaska,Lucie Laforest,N,Green
24055,Richmond--Arthabaska/Richmond--Arthabaska,Jason S. Noble,N,NDP
24055,Richmond--Arthabaska/Richmond--Arthabaska,Pierre Poissant,N,Conservative
24055,Richmond--Arthabaska/Richmond--Arthabaska,Christine St-Pierre,N,Liberal
24056,Rimouski--Témiscouata/Rimouski--Témiscouata,Guy Caron,N,NDP
24056,Rimouski--Témiscouata/Rimouski--Témiscouata,Marjolaine Delaunière,N,Green
24056,Rimouski--Témiscouata/Rimouski--Témiscouata,Denis Quimper,N,Conservative
24056,Rimouski--Témiscouata/Rimouski--Témiscouata,Côme Roy,N,Liberal
24056,Rimouski--Témiscouata/Rimouski--Témiscouata,Louise Thibault,N,Bloc
24057,Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,Marie Martine Bédard,N,Green
24057,Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,Nicolas Du Cap,N,NDP
24057,Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,Érick Gauthier,N,Conservative
24057,Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,Gilles-A. Perron,Y,Bloc
24057,Rivière-des-Mille-Îles/Rivière-des-Mille-Îles,Yolaine Savignac,N,Liberal
24058,Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,André Clermont,N,Green
24058,Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,Paul Crête,Y,Bloc
24058,Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,Marc-André Drolet,N,Conservative
24058,Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,Frédérick Garon,N,NDP
24058,Rivière-du-Loup--Montmagny/Rivière-du-Loup--Montmagny,Isabelle Mignault,N,Liberal
24059,Rivière-du-Nord/Rivière-du-Nord,Lorraine Auclair,N,Liberal
24059,Rivière-du-Nord/Rivière-du-Nord,Catherine Brousseau,N,Conservative
24059,Rivière-du-Nord/Rivière-du-Nord,François Côté,N,NDP
24059,Rivière-du-Nord/Rivière-du-Nord,Monique Guay,Y,Bloc
24059,Rivière-du-Nord/Rivière-du-Nord,Christian Marcoux,N,Marijuana
24059,Rivière-du-Nord/Rivière-du-Nord,Marcel Poirier,N,Green
24060,Roberval/Roberval,Marc-André Gauthier,N,Green
24060,Roberval/Roberval,Michel Gauthier,Y,Bloc
24060,Roberval/Roberval,Ghislain Lavoie,N,Conservative
24060,Roberval/Roberval,Michel Mallette,N,Liberal
24060,Roberval/Roberval,Isabelle Tremblay,N,NDP
24061,Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,Benoît Beauchamp,N,NDP
24061,Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,Bernard Bigras,Y,Bloc
24061,Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,Christian Bolduc,N,Liberal
24061,Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,François Chevalier,N,Green
24061,Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,Kenneth Higham,N,Communist
24061,Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie,Michel Sauvé,N,Conservative
24062,Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,Janis Crawford,N,Green
24062,Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,Marie Henretta,N,NDP
24062,Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,Carole Lavallée,N,Bloc
24062,Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,Jean-François Mongeau,N,Conservative
24062,Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,Marc Savard,N,Liberal
24062,Saint-Bruno--Saint-Hubert/Saint-Bruno--Saint-Hubert,David Vachon,N,Marijuana
24063,Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,Andrée Champagne,N,Conservative
24063,Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,Joëlle Chevrier,N,NDP
24063,Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,Michel Gaudette,N,Liberal
24063,Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,Bruno Godbout,N,Green
24063,Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot,Yvan Loubier,Y,Bloc
24064,Saint-Jean/Saint-Jean,Claude Bachand,Y,Bloc
24064,Saint-Jean/Saint-Jean,Michel Fecteau,N,Liberal
24064,Saint-Jean/Saint-Jean,Claude Genest,N,Green
24064,Saint-Jean/Saint-Jean,Joseph Khoury,N,Conservative
24064,Saint-Jean/Saint-Jean,Jonathan Trépanier,N,NDP
24065,Saint-Lambert/Saint-Lambert,Patrick Clune,N,Conservative
24065,Saint-Lambert/Saint-Lambert,Normand Fournier,N,Marxist-Leninist
24065,Saint-Lambert/Saint-Lambert,Monique Garcia,N,NDP
24065,Saint-Lambert/Saint-Lambert,Diane Joubert,N,Green
24065,Saint-Lambert/Saint-Lambert,Maka Kotto,N,Bloc
24065,Saint-Lambert/Saint-Lambert,Yolande Thibeault,Y,Liberal
24066,Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,Almaz Aladass,N,Green
24066,Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,Fernand Deschamps,N,Marxist-Leninist
24066,Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,Stéphane Dion,Y,Liberal
24066,Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,William Fayad,N,Bloc
24066,Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,Ken Fernandez,N,CAP
24066,Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,Zaid Mahayni,N,NDP
24066,Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,Alex Neron,N,Marijuana
24066,Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,Marc Rahmé,N,Conservative
24066,Saint-Laurent--Cartierville/Saint-Laurent--Cartierville,Nilda Vargas,N,Communist
24067,Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,Stéphane Chénier,N,Marxist-Leninist
24067,Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,Laura Colella,N,NDP
24067,Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,Payam Eslami,N,Conservative
24067,Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,Ricardo Fellicetti,N,Green
24067,Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,Paul-Alexis François,N,Bloc
24067,Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel,Massimo Pacetti,Y,Liberal
24068,Saint-Maurice--Champlain/Saint-Maurice--Champlain,Pierre J.C. Allard,N,NDP
24068,Saint-Maurice--Champlain/Saint-Maurice--Champlain,Pierre Cayou Audette,N,Green
24068,Saint-Maurice--Champlain/Saint-Maurice--Champlain,Marie-Eve Bilodeau,N,Liberal
24068,Saint-Maurice--Champlain/Saint-Maurice--Champlain,Marcel Gagnon,Y,Bloc
24068,Saint-Maurice--Champlain/Saint-Maurice--Champlain,Paul Giroux,N,Marijuana
24068,Saint-Maurice--Champlain/Saint-Maurice--Champlain,Martial Toupin,N,Conservative
24069,Shefford/Shefford,Sonia Bisson,N,NDP
24069,Shefford/Shefford,Francine Brière,N,Green
24069,Shefford/Shefford,Jacques Parenteau,N,Conservative
24069,Shefford/Shefford,Diane St-Jacques,Y,Liberal
24069,Shefford/Shefford,Robert Vincent,N,Bloc
24070,Sherbrooke/Sherbrooke,Bruno-Marie Béchard,N,Liberal
24070,Sherbrooke/Sherbrooke,Serge Cardin,Y,Bloc
24070,Sherbrooke/Sherbrooke,Jeffrey Champagne,N,Green
24070,Sherbrooke/Sherbrooke,Philippe Dion,N,NDP
24070,Sherbrooke/Sherbrooke,Réal Leblanc,N,Conservative
24071,Terrebonne--Blainville/Terrebonne--Blainville,Normand Beaudet,N,NDP
24071,Terrebonne--Blainville/Terrebonne--Blainville,Diane Bourgeois,Y,Bloc
24071,Terrebonne--Blainville/Terrebonne--Blainville,Martin Drapeau,N,Green
24071,Terrebonne--Blainville/Terrebonne--Blainville,Pierre Gingras,N,Liberal
24071,Terrebonne--Blainville/Terrebonne--Blainville,Patrick Légaré,N,Conservative
24072,Trois-Rivières/Trois-Rivières,Paule Brunelle,N,Bloc
24072,Trois-Rivières/Trois-Rivières,Jean-Éric Guindon,N,Liberal
24072,Trois-Rivières/Trois-Rivières,Linda Lavoie,N,Green
24072,Trois-Rivières/Trois-Rivières,Jean-Guy Mercier,N,Conservative
24072,Trois-Rivières/Trois-Rivières,Marc Tessier,N,NDP
24073,Vaudreuil-Soulanges/Vaudreuil-Soulanges,Julie C. Baribeau,N,Green
24073,Vaudreuil-Soulanges/Vaudreuil-Soulanges,Nick Discepola,Y,Liberal
24073,Vaudreuil-Soulanges/Vaudreuil-Soulanges,Meili Faille,N,Bloc
24073,Vaudreuil-Soulanges/Vaudreuil-Soulanges,Bert Markgraf,N,NDP
24073,Vaudreuil-Soulanges/Vaudreuil-Soulanges,Robert Ramage,N,Conservative
24073,Vaudreuil-Soulanges/Vaudreuil-Soulanges,Charles Soucy,N,Marijuana
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,Stéphane Bergeron,Y,Bloc
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,Sébastien Drouin,N,Marijuana
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,Philippe Morlighem,N,Green
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,Francis-Pierre Rémillard,N,Conservative
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,Nathalie Tousignant,N,Liberal
24074,Verchères--Les Patriotes/Verchères--Les Patriotes,Simon Vallée,N,NDP
24075,Westmount--Ville-Marie/Westmount--Ville-Marie,Robert Gervais,N,Conservative
24075,Westmount--Ville-Marie/Westmount--Ville-Marie,Serge Lachapelle,N,Marxist-Leninist
24075,Westmount--Ville-Marie/Westmount--Ville-Marie,Louis La Rochelle,N,Bloc
24075,Westmount--Ville-Marie/Westmount--Ville-Marie,David John Proctor,N,Marijuana
24075,Westmount--Ville-Marie/Westmount--Ville-Marie,Lucienne Robillard,Y,Liberal
24075,Westmount--Ville-Marie/Westmount--Ville-Marie,Brian Sarwer-Foner,N,Green
24075,Westmount--Ville-Marie/Westmount--Ville-Marie,Eric Wilson Steedman,N,NDP
35001,Ajax--Pickering/Ajax--Pickering,Mark Holland,N,Liberal
35001,Ajax--Pickering/Ajax--Pickering,Karen MacDonald,N,Green
35001,Ajax--Pickering/Ajax--Pickering,Kevin Modeste,N,NDP
35001,Ajax--Pickering/Ajax--Pickering,René Soetens,N,Conservative
35002,Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,Blaine Armstrong,N,Conservative
35002,Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,Carol Hughes,N,NDP
35002,Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,Lindsay Killen,N,Green
35002,Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing,Brent St. Denis,Y,Liberal
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,Gordon Guyatt,N,NDP
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,David Januczkowski,N,Green
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,Russ Powers,N,Liberal
35003,Ancaster--Dundas--Flamborough--Westdale/Ancaster--Dundas--Flamborough--Westdale,David Sweet,N,Conservative
35004,Barrie/Barrie,Patrick Brown,N,Conservative
35004,Barrie/Barrie,Peter Bursztyn,N,NDP
35004,Barrie/Barrie,Aileen Carroll,N,Liberal
35004,Barrie/Barrie,Erich Jacoby-Hawkins,N,Green
35005,Beaches--East York/Beaches--East York,Roger Carter,N,Marxist-Leninist
35005,Beaches--East York/Beaches--East York,Peter Davison,N,Green
35005,Beaches--East York/Beaches--East York,Daniel Dufresne,N,Marijuana
35005,Beaches--East York/Beaches--East York,Miguel Figueroa,N,Communist
35005,Beaches--East York/Beaches--East York,Maria Minna,Y,Liberal
35005,Beaches--East York/Beaches--East York,Nick Nikopoulos,N,Conservative
35005,Beaches--East York/Beaches--East York,Edward Slota,N,Independent
35005,Beaches--East York/Beaches--East York,Peter Tabuns,N,NDP
35006,Bramalea--Gore--Malton/Bramalea--Gore--Malton,Frank Chilelli,N,Marxist-Leninist
35006,Bramalea--Gore--Malton/Bramalea--Gore--Malton,Raminder Gill,N,Conservative
35006,Bramalea--Gore--Malton/Bramalea--Gore--Malton,Gurbax S. Malhi,Y,Liberal
35006,Bramalea--Gore--Malton/Bramalea--Gore--Malton,Sharleen McDowall,N,Green
35006,Bramalea--Gore--Malton/Bramalea--Gore--Malton,Fernando Miranda,N,NDP
35007,Brampton--Springdale/Brampton--Springdale,Ruby Dhalla,N,Liberal
35007,Brampton--Springdale/Brampton--Springdale,Nick Hudson,N,Green
35007,Brampton--Springdale/Brampton--Springdale,Sam Hundal,N,Conservative
35007,Brampton--Springdale/Brampton--Springdale,Gurdev Singh Mattu,N,Communist
35007,Brampton--Springdale/Brampton--Springdale,Kathy Pounder,N,NDP
35008,Brampton West/Brampton-Ouest,Colleen Beaumier,Y,Liberal
35008,Brampton West/Brampton-Ouest,Tom Bose,N,Independent
35008,Brampton West/Brampton-Ouest,Tony Clement,N,Conservative
35008,Brampton West/Brampton-Ouest,Sanjeev Goel,N,Green
35008,Brampton West/Brampton-Ouest,Chris Moise,N,NDP
35009,Brant/Brant,Lynn Bowering,N,NDP
35009,Brant/Brant,Helen-Anne Embry,N,Green
35009,Brant/Brant,Barra L. Gots,N,CHP
35009,Brant/Brant,Greg Martin,N,Conservative
35009,Brant/Brant,Lloyd St. Amand,N,Liberal
35009,Brant/Brant,John C. Turmel,N,Independent
35010,Burlington/Burlington,David Carter Laird,N,NDP
35010,Burlington/Burlington,Angela Reid,N,Green
35010,Burlington/Burlington,Paddy Torsney,Y,Liberal
35010,Burlington/Burlington,Mike Wallace,N,Conservative
35010,Burlington/Burlington,John Herman Wubs,N,CHP
35011,Cambridge/Cambridge,Gary Goodyear,N,Conservative
35011,Cambridge/Cambridge,John G. Gots,N,CHP
35011,Cambridge/Cambridge,Alex W. Gryc,N,Independent
35011,Cambridge/Cambridge,John Oprea,N,Independent
35011,Cambridge/Cambridge,Janko Peric,Y,Liberal
35011,Cambridge/Cambridge,Gary Price,N,NDP
35011,Cambridge/Cambridge,Gareth M. White,N,Green
35012,Carleton--Lanark/Carleton--Lanark,Stuart Langstaff,N,Green
35012,Carleton--Lanark/Carleton--Lanark,Gordon O'Connor,N,Conservative
35012,Carleton--Lanark/Carleton--Lanark,Rick Prashaw,N,NDP
35012,Carleton--Lanark/Carleton--Lanark,Dan Wicklum,N,Liberal
35013,Chatham-Kent--Essex/Chatham-Kent--Essex,Rod Hetherington,N,Green
35013,Chatham-Kent--Essex/Chatham-Kent--Essex,Kathleen Kevany,N,NDP
35013,Chatham-Kent--Essex/Chatham-Kent--Essex,Margaret Mondaca,N,Marxist-Leninist
35013,Chatham-Kent--Essex/Chatham-Kent--Essex,Jerry Pickard,Y,Liberal
35013,Chatham-Kent--Essex/Chatham-Kent--Essex,Dave Van Kesteren,N,Conservative
35014,Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,Durk Bruinsma,N,CHP
35014,Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,Virginia Ervin,N,Green
35014,Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,Tim Lang,N,Liberal
35014,Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,Bev Oda,N,Conservative
35014,Clarington--Scugog--Uxbridge/Clarington--Scugog--Uxbridge,Bruce Rogers,N,NDP
35015,Davenport/Davenport,Johan Boyden,N,Communist
35015,Davenport/Davenport,Elmer Gale,N,Marijuana
35015,Davenport/Davenport,Mark O'Brien,N,Green
35015,Davenport/Davenport,Rui Pires,N,NDP
35015,Davenport/Davenport,John Riddell,N,CAP
35015,Davenport/Davenport,Theresa Rodrigues,N,Conservative
35015,Davenport/Davenport,Mario Silva,N,Liberal
35015,Davenport/Davenport,Sarah Thompson,N,Marxist-Leninist
35016,Don Valley East/Don Valley-Est,Christopher Black,N,Communist
35016,Don Valley East/Don Valley-Est,David Johnson,N,Conservative
35016,Don Valley East/Don Valley-Est,Ryan Kidd,N,CHP
35016,Don Valley East/Don Valley-Est,Dan King,N,Green
35016,Don Valley East/Don Valley-Est,Valerie Mah,N,NDP
35016,Don Valley East/Don Valley-Est,Yasmin Ratansi,N,Liberal
35017,Don Valley West/Don Valley-Ouest,Serge Abbat,N,Green
35017,Don Valley West/Don Valley-Ouest,John Godfrey,Y,Liberal
35017,Don Valley West/Don Valley-Ouest,David Thomas,N,NDP
35017,Don Valley West/Don Valley-Ouest,David Turnbull,N,Conservative
35018,Dufferin--Caledon/Dufferin--Caledon,Ted Alexander,N,Green
35018,Dufferin--Caledon/Dufferin--Caledon,Murray Calder,Y,Liberal
35018,Dufferin--Caledon/Dufferin--Caledon,Ursula Ellis,N,CHP
35018,Dufferin--Caledon/Dufferin--Caledon,Rita Landry,N,NDP
35018,Dufferin--Caledon/Dufferin--Caledon,David Tilson,N,Conservative
35019,Eglinton--Lawrence/Eglinton--Lawrence,Shel Goldstein,N,Green
35019,Eglinton--Lawrence/Eglinton--Lawrence,Corrinne Prévost,N,CAP
35019,Eglinton--Lawrence/Eglinton--Lawrence,Max Silverman,N,NDP
35019,Eglinton--Lawrence/Eglinton--Lawrence,Bernie Tanz,N,Conservative
35019,Eglinton--Lawrence/Eglinton--Lawrence,Joseph Volpe,Y,Liberal
35020,Elgin--Middlesex--London/Elgin--Middlesex--London,Will Arlow,N,CAP
35020,Elgin--Middlesex--London/Elgin--Middlesex--London,Ken DeVries,N,CHP
35020,Elgin--Middlesex--London/Elgin--Middlesex--London,Gar Knutson,Y,Liberal
35020,Elgin--Middlesex--London/Elgin--Middlesex--London,Tim McCallum,N,NDP
35020,Elgin--Middlesex--London/Elgin--Middlesex--London,Joe Preston,N,Conservative
35020,Elgin--Middlesex--London/Elgin--Middlesex--London,Julie-Ann Stodolny,N,Green
35021,Essex/Essex,Robert A. Cruise,N,Marxist-Leninist
35021,Essex/Essex,Paul Forman,N,Green
35021,Essex/Essex,David Tremblay,N,NDP
35021,Essex/Essex,Jeff Watson,N,Conservative
35021,Essex/Essex,Susan Whelan,Y,Liberal
35022,Etobicoke Centre/Etobicoke-Centre,Margo Pearson,N,Green
35022,Etobicoke Centre/Etobicoke-Centre,Lida Preyma,N,Conservative
35022,Etobicoke Centre/Etobicoke-Centre,John Richmond,N,NDP
35022,Etobicoke Centre/Etobicoke-Centre,France Tremblay,N,Marxist-Leninist
35022,Etobicoke Centre/Etobicoke-Centre,Borys Wrzesnewskyj,N,Liberal
35023,Etobicoke--Lakeshore/Etobicoke--Lakeshore,Jean Augustine,Y,Liberal
35023,Etobicoke--Lakeshore/Etobicoke--Lakeshore,John Capobianco,N,Conservative
35023,Etobicoke--Lakeshore/Etobicoke--Lakeshore,John Huculiak,N,Green
35023,Etobicoke--Lakeshore/Etobicoke--Lakeshore,Margaret Anne McHugh,N,NDP
35023,Etobicoke--Lakeshore/Etobicoke--Lakeshore,Janice Murray,N,Marxist-Leninist
35024,Etobicoke North/Etobicoke-Nord,Roy Cullen,Y,Liberal
35024,Etobicoke North/Etobicoke-Nord,Anna Di Carlo,N,Marxist-Leninist
35024,Etobicoke North/Etobicoke-Nord,Mir Kamal,N,Green
35024,Etobicoke North/Etobicoke-Nord,Cesar Martello,N,NDP
35024,Etobicoke North/Etobicoke-Nord,Rupinder Nannar,N,Conservative
35024,Etobicoke North/Etobicoke-Nord,George Szebik,N,Independent
