Electoral District Number/Numéro de circonscription,Electoral District Name_English/Nom de circonscription_Anglais,Electoral District Name_French/Nom de circonscription_Français,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Void Poll Indicator/Indicateur de bureau supprimé,No Poll Held Indicator/Indicateur de bureau sans scrutin,Merge With/Fusionné avec,Rejected Ballots for Polling Station/Bulletins rejetés du bureau,Electors for Polling Station/Électeurs du bureau,Candidate’s Family Name/Nom de famille du candidat,Candidate’s Middle Name/Second prénom du candidat,Candidate’s First Name/Prénom du candidat,Political Affiliation Name_English/Appartenance politique_Anglais,Political Affiliation Name_French/Appartenance politique_Français,Incumbent Indicator/Indicateur_Candidat sortant,Elected Candidate Indicator/Indicateur du candidat élu,Candidate Poll Votes Count/Votes du candidat pour le bureau
35108,"Toronto Centre","Toronto-Centre"," 12","Toronto",N,N,"",1,390,"McQuaig","","Linda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,66
35108,"Toronto Centre","Toronto-Centre"," 12","Toronto",N,N,"",1,390,"Morneau","","Bill","Liberal","Libéral",N,Y,105
35108,"Toronto Centre","Toronto-Centre"," 12","Toronto",N,N,"",1,390,"Stone","","Jordan","Independent","Indépendant",N,N,1
35108,"Toronto Centre","Toronto-Centre"," 13","Toronto",N,N,"",1,339,"Ahmad","","Mariam","Communist","Communiste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 13","Toronto",N,N,"",1,339,"Biggin","","Colin","Green Party","Parti Vert",N,N,7
35108,"Toronto Centre","Toronto-Centre"," 13","Toronto",N,N,"",1,339,"Di Battista","","Julian","Conservative","Conservateur",N,N,16
35108,"Toronto Centre","Toronto-Centre"," 13","Toronto",N,N,"",1,339,"Fernandez","","Philip","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 13","Toronto",N,N,"",1,339,"McQuaig","","Linda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,58
35108,"Toronto Centre","Toronto-Centre"," 13","Toronto",N,N,"",1,339,"Morneau","","Bill","Liberal","Libéral",N,Y,102
35108,"Toronto Centre","Toronto-Centre"," 13","Toronto",N,N,"",1,339,"Stone","","Jordan","Independent","Indépendant",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 14","Toronto",N,N,"",0,321,"Ahmad","","Mariam","Communist","Communiste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 14","Toronto",N,N,"",0,321,"Biggin","","Colin","Green Party","Parti Vert",N,N,3
35108,"Toronto Centre","Toronto-Centre"," 14","Toronto",N,N,"",0,321,"Di Battista","","Julian","Conservative","Conservateur",N,N,15
35108,"Toronto Centre","Toronto-Centre"," 14","Toronto",N,N,"",0,321,"Fernandez","","Philip","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 14","Toronto",N,N,"",0,321,"McQuaig","","Linda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,53
35108,"Toronto Centre","Toronto-Centre"," 14","Toronto",N,N,"",0,321,"Morneau","","Bill","Liberal","Libéral",N,Y,98
35108,"Toronto Centre","Toronto-Centre"," 14","Toronto",N,N,"",0,321,"Stone","","Jordan","Independent","Indépendant",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 15","Toronto",N,N,"",1,338,"Ahmad","","Mariam","Communist","Communiste",N,N,1
35108,"Toronto Centre","Toronto-Centre"," 15","Toronto",N,N,"",1,338,"Biggin","","Colin","Green Party","Parti Vert",N,N,3
35108,"Toronto Centre","Toronto-Centre"," 15","Toronto",N,N,"",1,338,"Di Battista","","Julian","Conservative","Conservateur",N,N,5
35108,"Toronto Centre","Toronto-Centre"," 15","Toronto",N,N,"",1,338,"Fernandez","","Philip","Marxist-Leninist","Marxiste-Léniniste",N,N,1
35108,"Toronto Centre","Toronto-Centre"," 15","Toronto",N,N,"",1,338,"McQuaig","","Linda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,49
35108,"Toronto Centre","Toronto-Centre"," 15","Toronto",N,N,"",1,338,"Morneau","","Bill","Liberal","Libéral",N,Y,90
35108,"Toronto Centre","Toronto-Centre"," 15","Toronto",N,N,"",1,338,"Stone","","Jordan","Independent","Indépendant",N,N,2
35108,"Toronto Centre","Toronto-Centre"," 16","Toronto",N,N,"",0,320,"Ahmad","","Mariam","Communist","Communiste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 16","Toronto",N,N,"",0,320,"Biggin","","Colin","Green Party","Parti Vert",N,N,5
35108,"Toronto Centre","Toronto-Centre"," 16","Toronto",N,N,"",0,320,"Di Battista","","Julian","Conservative","Conservateur",N,N,17
35108,"Toronto Centre","Toronto-Centre"," 16","Toronto",N,N,"",0,320,"Fernandez","","Philip","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 16","Toronto",N,N,"",0,320,"McQuaig","","Linda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,50
35108,"Toronto Centre","Toronto-Centre"," 16","Toronto",N,N,"",0,320,"Morneau","","Bill","Liberal","Libéral",N,Y,87
35108,"Toronto Centre","Toronto-Centre"," 16","Toronto",N,N,"",0,320,"Stone","","Jordan","Independent","Indépendant",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 17A","Toronto",N,N,"",0,129,"Ahmad","","Mariam","Communist","Communiste",N,N,2
35108,"Toronto Centre","Toronto-Centre"," 17A","Toronto",N,N,"",0,129,"Biggin","","Colin","Green Party","Parti Vert",N,N,8
35108,"Toronto Centre","Toronto-Centre"," 17A","Toronto",N,N,"",0,129,"Di Battista","","Julian","Conservative","Conservateur",N,N,30
35108,"Toronto Centre","Toronto-Centre"," 17A","Toronto",N,N,"",0,129,"Fernandez","","Philip","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 17A","Toronto",N,N,"",0,129,"McQuaig","","Linda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,53
35108,"Toronto Centre","Toronto-Centre"," 17A","Toronto",N,N,"",0,129,"Morneau","","Bill","Liberal","Libéral",N,Y,126
35108,"Toronto Centre","Toronto-Centre"," 17A","Toronto",N,N,"",0,129,"Stone","","Jordan","Independent","Indépendant",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 17B","Toronto",N,N,"",0,268,"Ahmad","","Mariam","Communist","Communiste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 17B","Toronto",N,N,"",0,268,"Biggin","","Colin","Green Party","Parti Vert",N,N,3
35108,"Toronto Centre","Toronto-Centre"," 17B","Toronto",N,N,"",0,268,"Di Battista","","Julian","Conservative","Conservateur",N,N,33
35108,"Toronto Centre","Toronto-Centre"," 17B","Toronto",N,N,"",0,268,"Fernandez","","Philip","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 17B","Toronto",N,N,"",0,268,"McQuaig","","Linda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,33
35108,"Toronto Centre","Toronto-Centre"," 17B","Toronto",N,N,"",0,268,"Morneau","","Bill","Liberal","Libéral",N,Y,84
35108,"Toronto Centre","Toronto-Centre"," 17B","Toronto",N,N,"",0,268,"Stone","","Jordan","Independent","Indépendant",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 18","Toronto",N,N,"17A",0,340,"Ahmad","","Mariam","Communist","Communiste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 18","Toronto",N,N,"17A",0,340,"Biggin","","Colin","Green Party","Parti Vert",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 18","Toronto",N,N,"17A",0,340,"Di Battista","","Julian","Conservative","Conservateur",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 18","Toronto",N,N,"17A",0,340,"Fernandez","","Philip","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 18","Toronto",N,N,"17A",0,340,"McQuaig","","Linda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 18","Toronto",N,N,"17A",0,340,"Morneau","","Bill","Liberal","Libéral",N,Y,0
35108,"Toronto Centre","Toronto-Centre"," 18","Toronto",N,N,"17A",0,340,"Stone","","Jordan","Independent","Indépendant",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 19","Toronto",N,N,"",1,398,"Ahmad","","Mariam","Communist","Communiste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 19","Toronto",N,N,"",1,398,"Biggin","","Colin","Green Party","Parti Vert",N,N,8
35108,"Toronto Centre","Toronto-Centre"," 19","Toronto",N,N,"",1,398,"Di Battista","","Julian","Conservative","Conservateur",N,N,9
35108,"Toronto Centre","Toronto-Centre"," 19","Toronto",N,N,"",1,398,"Fernandez","","Philip","Marxist-Leninist","Marxiste-Léniniste",N,N,1
35108,"Toronto Centre","Toronto-Centre"," 19","Toronto",N,N,"",1,398,"McQuaig","","Linda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,49
35108,"Toronto Centre","Toronto-Centre"," 19","Toronto",N,N,"",1,398,"Morneau","","Bill","Liberal","Libéral",N,Y,120
35108,"Toronto Centre","Toronto-Centre"," 19","Toronto",N,N,"",1,398,"Stone","","Jordan","Independent","Indépendant",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 20","Toronto",N,N,"",0,410,"Ahmad","","Mariam","Communist","Communiste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 20","Toronto",N,N,"",0,410,"Biggin","","Colin","Green Party","Parti Vert",N,N,10
35108,"Toronto Centre","Toronto-Centre"," 20","Toronto",N,N,"",0,410,"Di Battista","","Julian","Conservative","Conservateur",N,N,18
35108,"Toronto Centre","Toronto-Centre"," 20","Toronto",N,N,"",0,410,"Fernandez","","Philip","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 20","Toronto",N,N,"",0,410,"McQuaig","","Linda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,53
35108,"Toronto Centre","Toronto-Centre"," 20","Toronto",N,N,"",0,410,"Morneau","","Bill","Liberal","Libéral",N,Y,121
35108,"Toronto Centre","Toronto-Centre"," 20","Toronto",N,N,"",0,410,"Stone","","Jordan","Independent","Indépendant",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 21A","Toronto",N,N,"",0,133,"Ahmad","","Mariam","Communist","Communiste",N,N,1
35108,"Toronto Centre","Toronto-Centre"," 21A","Toronto",N,N,"",0,133,"Biggin","","Colin","Green Party","Parti Vert",N,N,2
35108,"Toronto Centre","Toronto-Centre"," 21A","Toronto",N,N,"",0,133,"Di Battista","","Julian","Conservative","Conservateur",N,N,10
35108,"Toronto Centre","Toronto-Centre"," 21A","Toronto",N,N,"",0,133,"Fernandez","","Philip","Marxist-Leninist","Marxiste-Léniniste",N,N,0
35108,"Toronto Centre","Toronto-Centre"," 21A","Toronto",N,N,"",0,133,"McQuaig","","Linda","NDP-New Democratic Party","NPD-Nouveau Parti démocratique",N,N,15
35108,"Toronto Centre","Toronto-Centre"," 21A","Toronto",N,N,"",0,133,"Morneau","","Bill","Liberal","Libéral",N,Y,35
